0,CombatZoneResize,239,226,404,391,,,
0,HeartTeleport,320,324,,,,,
0.5,HeartMode,1,,,,,,
0,Sound,Ding,,,,,,
,,,,,,,,
0.6,BoneStab,1,30,0.4,1,,,
0,Platform,640,346,50,2,640,0,
,,,,,,,,
0.55,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,BoneVRepeat,240,356,40,2,0,20,12
0,Platform,288,346,50,2,0,0,
,,,,,,,,
0.2,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,BoneVRepeat,240,356,40,2,640,20,12
0,Platform,288,346,50,2,639,0,
0,CombatZoneResize,175,226,340,391,,,
0,CombatZoneSpeed,640,,,,,,
0.1,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,BoneVRepeat,176,356,40,2,0,20,12
0,Platform,234,346,50,2,0,0,
,,,,,,,,
,,,,,,,,
0,SET,Loop,0,,,,,
0,SET,ComX1,175,,,,,
0,SET,ComX2,340,,,,,
0,SET,Loop,0,,,,,
0,SET,PlaX,234,,,,,
0,SET,BonX,176,,,,,
0,SET,BlueX,450,,,,,
0,SET,BlueX2,650,,,,,
0,SET,BlueX3,850,,,,,
0,SET,BlueX4,1050,,,,,
0,SET,BlueX5,1250,,,,,
0,SET,BlueX6,1450,,,,,
0,SET,BlueX7,1650,,,,,
0,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,ADD,Loop,$Loop,1,,,,
0,ADD,ComX1,$ComX1,0.5,,,,
0,ADD,ComX2,$ComX2,0.5,,,,
0,ADD,PlaX,$PlaX,0.5,,,,
0,ADD,BonX,$BonX,0.5,,,,
0,SUB,BlueX,$BlueX,2.5,,,,
0,SUB,BlueX2,$BlueX2,2.5,,,,
0,SUB,BlueX3,$BlueX3,2.5,,,,
0,SUB,BlueX4,$BlueX4,2.5,,,,
0,SUB,BlueX5,$BlueX5,2.5,,,,
0,SUB,BlueX6,$BlueX6,2.5,,,,
0,SUB,BlueX7,$BlueX7,2.5,,,,
0,CombatZoneResizeInstant,$ComX1,226,$ComX2,391,,,
0,Platform,$PlaX,346,50,2,0,0,
0,BoneVRepeat,$BonX,356,40,2,0,20,12
0,BoneV,$BlueX,231,155,2,0,1,
0,BoneV,$BlueX2,231,155,2,0,1,
0,BoneV,$BlueX3,231,165,2,0,1,
0,BoneV,$BlueX4,231,165,2,0,1,
0,BoneV,$BlueX5,231,165,2,0,1,
0,BoneV,$BlueX6,231,165,2,0,1,
0,BoneV,$BlueX7,231,165,2,0,1,
0.01,JMPL,39,$Loop,500,,,,
,,,,,,,,
0.5,CombatZoneResize,425,296,590,391,,,
0,CombatZoneSpeed,300,,,,,,
,,,,,,,,
0.5,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,BoneVRepeat,426,356,40,2,50,20,12
0,Platform,484,346,50,2,50,0,
0,CombatZoneResize,239,296,404,391,,,
0,CombatZoneSpeed,50,,,,,,
0,BoneVRepeat,176,326,60,0,400,7,300
3.72,BlackScreen,1,,,,,,
0,BlackScreen,0,,,,,,
0,BoneVRepeat,240,356,40,2,0,20,12
0,Platform,298,346,50,2,0,0,
,,,,,,,,
1,EndAttack,,,,,,,
