0,CombatZoneResize,179,251,464,391,,,
0,HeartTeleport,320,324,,,,,
0,HeartMode,1,,,,,,
,,,,,,,,
0,Sound,Ding,,,,,,
0.2,BoneVRepeat,469,361,40,2,225,65,20
0,Platform,540,341,50,2,120,,
0,Platform,750,304,50,2,120,,
0,Platform,770,346,50,2,120,,
2.5,BoneV,169,326,15,0,800,,
0,Sound,BoneStab,,,,,,
0,BoneVRepeat,469,321,80,2,120,,
1.5,BoneV,464,246,70,2,800,,
0,Sound,BoneStab,,,,,,
0,Platform,640,331,50,2,250,,
0,Platform,800,341,50,2,250,,
1.2,BoneV,464,246,40,2,250,,
0,BoneV,464,324,80,2,250,,
0,Sound,BoneStab,,,,,,
1,BoneV,504,246,65,2,400,,
0,BoneV,464,334,80,2,400,,
0,Sound,BoneStab,,,,,,
1.3,BoneV,464,354,45,2,600,,
0,Sound,BoneStab,,,,,,
1.2,EndAttack,,,,,,,
