0,CombatZoneResize,133,251,508,391,TLResume
0,HeartTeleport,323.5,317,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0.5,sansbody,handdown,,,,
0,sansslam,1,,,,
0,bonestab,1,30,0.7,0.5,
1.5,SansAnimation,idle,,,,
0,BoneV,128,256,105,0,280
0,BoneV,128,376,10,0,280
0,BoneV,508,256,105,2,280
0,BoneV,508,376,10,2,280
1.2,sansbody,handleft,,,,
0,sansslam,2,,,,
0,bonestab,2,30,0.7,1.5,
1,sansbody,handright,,,,
0,sansslam,0,,,,
0,bonestab,0,30,0.7,0.5,
0.5,HeartMode,0,,,,
0.5,BoneV,128,256,60,0,280
0,BoneV,128,341,45,0,280
0,BoneV,508,256,60,2,280
0,BoneV,508,341,45,2,280
0.5,BoneV,128,256,30,0,280
0,BoneV,128,311,75,0,280
0,BoneV,508,256,30,2,280
0,BoneV,508,311,75,2,280
1,sansbody,handup,,,,
0,sansslam,3,,,,
0,bonestab,1,90,0.2,999,
0,bonestab,0,150,0.2,999,
0,bonestab,2,150,0.2,999,
0.2,SansAnimation,idle,,,,
0,bonestab,3,15,0.3,0.1,
0.8,bonestab,3,15,0.3,0.1,
0.8,bonestab,3,15,0.3,0.1,
0.8,bonestab,3,15,0.3,0.1,
0.8,bonestab,3,15,0.3,0.1,
0.8,bonestab,3,15,0.3,0.1,
0.8,endattack,,,,,
