0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,bonestab,0,70,0.35,2.211,
0,bonestab,2,70,0.35,2.211,
0.4115,bonestab,1,10,0,0.1,
0.0615,bonestab,1,20,0,0.1,
0.0615,bonestab,1,30,0,0.1,
0.0615,bonestab,1,40,0,0.1,
0.0615,bonestab,1,50,0,0.1,
0.0615,bonestab,1,60,0,0.1,
0.0615,bonestab,1,70,0,0.1,
0.0615,bonestab,1,80,0,0.1,
0.0615,bonestab,1,90,0,0.1,
0.0615,bonestab,1,100,0,0.1,
0.0615,bonestab,1,110,0,0.1,
0.0615,bonestab,1,120,0,0.1,
0.0615,bonestab,1,130,0,0.1,
0.0615,bonestab,1,140,0,1,
3,bonestab,1,70,0.35,2.211,
0,bonestab,3,70,0.35,2.211,
0.4115,bonestab,2,10,0,0.1,
0.0615,bonestab,2,20,0,0.1,
0.0615,bonestab,2,30,0,0.1,
0.0615,bonestab,2,40,0,0.1,
0.0615,bonestab,2,50,0,0.1,
0.0615,bonestab,2,60,0,0.1,
0.0615,bonestab,2,70,0,0.1,
0.0615,bonestab,2,80,0,0.1,
0.0615,bonestab,2,90,0,0.1,
0.0615,bonestab,2,100,0,0.1,
0.0615,bonestab,2,110,0,1,
0.0615,bonestab,0,30,0,1,
2.5,bonestab,1,60,1,1,
0,bonestab,3,80,1,1,
2,bonestab,0,80,1,1,
0,bonestab,2,60,1,1,
3,BoneStab,0,60,0,5,
0,BoneStab,1,60,0,5,
0,BoneStab,2,60,0,5,
0,BoneStab,3,60,0,5,
2,endattack,,,,,
