0,CombatZoneResize,149,251,494,391,,,
0,HeartTeleport,320,324,,,,,
0.2,HeartMode,1,,,,,,
0,Sound,Ding,,,,,,
,,,,,,,,
0,BoneVRepeat,494,346,40,2,150,6,55
0,BoneV,824,256,35,2,150,,
0,BoneV,824,326,60,2,150,,
2.6,BoneVRepeat,494,346,40,2,150,6,55
0,BoneV,824,256,35,2,150,,
0,BoneV,824,326,60,2,150,,
2.6,BoneVRepeat,494,346,40,2,150,6,55
0,BoneV,824,256,35,2,150,,
0,BoneV,824,326,60,2,150,,
2.6,BoneVRepeat,494,346,40,2,150,6,55
0,BoneV,824,256,35,2,150,,
0,BoneV,824,326,60,2,150,,
2.6,BoneVRepeat,494,346,40,2,150,6,55
0,BoneV,824,256,35,2,150,,
0,BoneV,824,326,60,2,150,,
,,,,,,,,
,,,,,,,,
3.8,SansBody,HandRight,,,,,,
0.1,BoneStab,0,40,0.65,0.1,,,
0.1,SansSlam,0,,,,,,
,,,,,,,,
1,EndAttack,,,,,,,
