0,CombatZoneResize,183,251,458,391,,
,,,,,,,
,,,,,,,
0,HeartMode,0,,,,,
0,HeartTeleport,320,324,,,,
0.5,BoneV,173,256,130,0,250,1
0,BoneV,458,256,130,2,250,1
0.7,HeartMode,1,,,,,
0,Sound,Ding,,,,,
0.7,BoneV,173,256,50,0,250,0
0,BoneV,173,336,50,0,250,0
1,BoneV,458,256,55,2,250,0
0,BoneV,458,341,45,2,250,0
1,BoneV,173,256,40,0,250,0
0,BoneV,173,326,60,0,250,0
1,BoneV,458,256,70,2,250,0
0,BoneV,458,356,30,2,250,0
1,BoneV,173,256,40,0,250,0
0,BoneV,173,326,60,0,250,0
1,BoneV,458,256,60,2,250,0
0,BoneV,458,346,40,2,250,0
1,BoneV,173,256,45,0,250,0
0,BoneV,173,331,55,0,250,0
1,BoneV,458,256,60,2,250,0
0,BoneV,458,346,40,2,250,0
1,BoneV,173,256,40,0,250,0
0,BoneV,173,326,60,0,250,0
0.6,EndAttack,,,,,,
